,ratings,location,date,pro,con,up_vote,down_vote,message
2548,1.0,columbus ohio,2015-08-05,flexible time,"no tip, wear and tear on your car, very low fares",264,27,"This my second week working for this company, and it is not worth it at all. Their fares are very low , so you might drive 17 min to pick someone up that going just across the street , the trip will be 4 $ uber takes 1 $ insurance , then 20 % and you are left off with 2.40 $ for 30 min work , sometimes you get order 20 $ plus but believe me it is not worth unless it is ur only option to survive . for example, today I mad 12 trips the highest fare was 11 $. Don't get fooled with them telling you that you can make 19-40 $/hr , you actually looking for 7 $ may be less in hour plus your wear and tear ."
2549,4.0,"Chicago, IL",2015-08-03,,,,,Good job. The positive interaction with riders makes this a fun and rewarding job. If you are a communicator and or a people person this would be a great fit for you. But not for the extremely sensitive.
2550,3.0,"San Francisco, CA",2015-08-03,Control your own hours.,"No health coverage, wear and tear on your vehicle.",91,27,"Uber is a good short term position until you are able to find another job. The pay is ok for the job, but with gas prices the pay versus the cost of operation is not too great. I also requested to provide the driver's with a customer service number instead of just an email option."
2551,5.0,"Los Angeles, CA",2015-08-02,,,32,129,I inspect new vehicles that are joining the company.I enjoy providing great customer service to those who request service.
2552,4.0,"Washington, DC",2015-08-01,"Flexiblity, weekend surge prices",low pay throughout the week,,,Uber is very flexible and freeing. You can control how often and when you work. You really are your own boss in that sense. On the other hand the pay isn't great and you'll find yourself working all the time to make ends meet if it's your only job. I highly recommend it as a second job. It's perfect on nights and weekends because that's when prices surge.
2553,5.0,"Atlanta, GA",2015-07-30,,,59,53,"You can choose when you drive and where. Finding fares was very easy. The app was easy to install and understand. Finding the people at the pickup location was fast and easy with the ability to call them if need, or just send a text."
2554,5.0,"Atlanta, GA",2015-07-30,fun work whenever you want,alot of hours to get a good pay day,107,37,"Its not as good paying as it use to be. You have to put a lot of hours to get the money you desirefor example in Atl I will go out on Fridays 7 to 8pm or so, till 330am to catch all the clubers. You make 170 to 200 or so before gas. If there is a event going on some time you can double that. People that get in your car are cool. A lot of insurance issues for example if you have geico and they find out you do uber they drop you. But some ins companies are creating plans for uber drivers in some areas."
2555,4.0,"Washington, DC",2015-07-28,,,47,64,"Great company to work for on your own free time. Meet all types of people from all over. But your main objective is to pick up the rider and get them to their destination safely in timely fashion. easy to get on as a driver, may take up to a week."
2556,3.0,DFW,2015-07-28,,,64,54,", uber is a great part time job that allows you make money on your spare time , however i dont feel like it is type of job you can rely on for a secured earnings , there is no benefits besides you make your own schedule and allows you take a break anytime you want"
2557,1.0,Boston,2015-07-27,,,137,11,Very little money which you will need to putAll of it it your gas tank. Your lucky ifYou break even with cost of tolls and gas and Uber's fees.What a Joke!
2558,4.0,"Atlanta, GA",2015-07-27,You are your own boss,Too many drivers,69,32,Love meeting new people daily driving Uber but what's the point when you can't make money. Too many drivers and they won't let me upgrade to SUV/Black.
2559,1.0,San Francisco,2015-07-24,It can't get any worse than it is,Everything about uber is a lie,198,26,"They outright lie about what drivers are making to lure us in, then promise ""more business"" by cutting our income 40% over the past year to get ""more riders."" Then they hire anyone with a pulse and a car to take away the new business that we helped build!!!  Then drivers start quitting so they further lower the requirements for cars again all the way back to 2000 and dilute the driver pool with some incredibly old cars!  Not uncommon to see ubers now in old scary looking Ford Tauruses and Chevy luminas!  Lol. The taxis are now the much newer, safer way to go compared to Uber!  Rider beware! And that is coming from an Uber driver!"
2560,4.0,"District Heights, MD",2015-07-21,"make your own hours, paid weekly","wear and tear on your car, gas, maintenance increase, dont get paid for additional stops.",87,23,I just began driving for Uber about 3 days ago and after spending about 5 hours behind the wheel i was about to make about 180.00 after Uber's fees. The Uber app that is used to maintain the riders location and destination should be upgraded. The app only gives you a general location of the rider's location if they are in an apartment complex. It would also be nice if Uber let the drivers know where the rider's destination is. In case you need to stop and get gas or have to refuse the trip. The company does answer your questions rather quick and adjust your rates if needed.
2561,5.0,"San Francisco, CA",2015-07-18,"Flexible, awesome glory for Jesus",None! Glory fire fire fire!,68,181,Jesus is Lord you can prophesy over your passengers.I love talking to people about Jesus. It's really awesome!I had customers actually hug me after rides
2562,4.0,"San Francisco, CA",2015-07-16,Meeting and conversing with people from various backgrounds,"Uber management team, Wear on vehical, busyness depends on city",62,48,"A typical work day begins around 6 pm, depending on the city, and end roughly around 2 am. I choose to drive these hours because that's when its busiest, and in choosing this job allowed me to work while attending the University of California, Davis. I learned that I can communicate extremely well with people from all different ethnic, cultural and work related backgrounds.The most difficult part about this job is communicating with the Uber management team because they can take three to four days to respond to a drivers, which leads me to feel that Uber is more rider friendly that driver friendly.  Despite the difficulty in reaching the Uber team, creating conversations about politics, current events, environmental topics and even pop culture with the various riders is by far the most rewarding experience as many riders are career orientated and knowledgeable about topics that interest me as well."
2563,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
2564,3.0,"Snellville, GA",2015-07-16,Easy work,Hard on you person auto,10,,Overall good company but pay rates and wear on auto are hard to deal with no support or tax breaks on the issues.  A good ideal but the price of doing it was tough.
2565,1.0,"Los Angeles, CA",2015-07-15,,,3,,Unfair commission to the company while drivers do all the work and expenses. They keep lowering prices making it very difficult to earn with this company.
2566,5.0,"Dallas, Tx",2015-07-15,clock in anytime you want,its expensive on gas,61,50,"Uber Is a great way to earn some extra money and meet new people. It can be slow at times but other times it is very busy. Its a very easy going job. be your own management, make your own hours..... plenty of referral bonuses."
2567,2.0,OH,2015-07-10,,,141,22,"The customers are great but job compensation is vastly over stated, work is not steady and the technology has a lot of problems."
2568,4.0,"Philly, PA",2015-06-28,"Perks once you get some rides under your belt, can do on your free time.","Independent contractor, complicated financial aspects to managing money",,,"Have lots of fun with this job, I wish it was more popular so I could make even more money with it. I'd like to keep it for part time income even if I find another job. I only wish I knew where the person wanted to go ahead of time, and more business closer to where I live, so not to waste gas. Can't think of a single other bad thing though.Every time I've ever had an issue, a simple email was quickly responded to, and the issue dealt with. Very flexible, just work hard to keep your rating up"
2569,3.0,"Indianapolis, IN",2015-06-26,Picking own hours,"No beneftis, and the demand isn't always there.",178,31,Driving for Uber is a lot like fishing.  You do a lot of sitting.  Sometimes you will get a long ride (a good catch) and some times you will get a short one. (minnow).  They take out one dollar per ride for extra insurance and 20 per cent for their share.  You have to do a lot of driving to make a decent amount of money.  You pay for your own gas and wear and tear on your vehicle.  They have hired so many drivers for the Final Four and Indianapolis 500 that getting a passenger request takes longer and longer because the area is saturated with drivers.  It is fun meeting new people and having the freedom to pick your hours.
2570,3.0,Charlotte,2015-06-24,,,51,103,● Use my personal and customer service skills along with an ability to work with maps and the GPSsystem to accurately make chart routes and make pick up/deliveries.● I am currently going back to school for business related classes in order to continue growingfurther in my career path
2571,4.0,Milwaukee,2015-06-19,"Extra money, set my own hours",not very good pay unless I work late night hours. Using my own car which is my prized possesion.,99,52,"Of course I drove a lot and became much more proficient as I learned the roads. Managers always available via E mail. Co workers don't exist as I work independently. Nothing hard about the job and all riders are good company except for the complaining about the road  construction. Oh well, life is tough for all of us. Excellent way for me to get out and see the city as I always been an out going person"
2572,1.0,Dallas,2015-06-19,Work when you want but not really,,,,Independent contractor for Uber Inc. working as a driver. Pay is limited and not worth the time. If a could I would have never attempted such a risky employment choice if I'd known that Uber does not care about nothing but the application itself.
2573,4.0,"San Diego, CA",2015-06-18,set your own hours,communication with managment is sketchy,80,47,"Set your own hours and work days while driving around beautiful Southern California. Clientele are smart phone users, business type, travelers, students and you meet all types. Your car is your office. The daily struggle with GPS and communication while driving can be annoying. Overall a decent job."
2574,4.0,"San Francisco, CA",2015-06-14,great learning experience,some customers were rude,74,51,"overall, an excellent company to work for. was a great way to learn the fastest way to travel in the city. got paid exceptionally well for not having to demonstrate any past experience."
2575,2.0,Los Angeles/Long Beach,2015-06-13,"Make your own hours, Kiss butt and maybe get tips, take breaks whenever you want","Barely getting paid, not really worth it, smelly people, people messing up your car, nobody tips, traffic, sometimes awkwardly quiet ridres",331,39,"I worked 9am-4pm on Friday, got a lot of business. I feel like I've been ripped off because I made 9 rides which is a lot, nobody likes to tip, which is fine, and only made about $100. Keep in mind Uber takes $20 of this for their cut, and I pay $20 out of my pocket for gas, so for 7 hours, I made 60.00, less than minimum wage, adding the wear and tear on my car. I don't feel like this job is really worth it. Something is better than nothing, but yeah I feel I'm better off getting a real job. The only upside is that you supposedly make more money during the night time, and so far zero tips so I'm gonna give it a shot tonight and hope I make a lot more money in the hot spots. My first ride they didn't even charge the people so they got a free ride. I feel like uber keeps more of your money than they say they do. I emailed them about this and they said they will process the payment the next day, and today I still see it was a free ride. So yup."
2576,4.0,"Atlanta, GA",2015-06-10,,,83,72,I normally work the weekends so there are always busy and fun. I manage to learn about different types of people and how to handle them accordingly if things get a little heated. Overall my experience as an uber driver has been nothing but a great one.
2577,5.0,Washington DC,2015-06-09,Good Bennefits,no one,17,215,"I was start my pluming career in this great company and I was get a lot experience whit them ,at the time I was a helper but the technicians teach me everything to resolve plumbing issues..."
2578,2.0,"San Francisco, CA",2015-06-08,Flexibility and free lunches,Poor communication and management,115,62,"Working at Uber is a great experience. However being here for a year as an independent contractor, I am disappointed with how I have been treated. I have not been provided an opportunity to join Uber even though I have come into the office for a year, and put a lot of effort into that. The management I work with don't understand the differences between an independent contractor and employee as I am given a lot of benefits employees get, but without the compensation and title. I asked for a raise recently but it was declined, as I was told raises are given to Uber employees based on performance (and I am not an Uber employee!). The last thing on their mind is dealing with the independent contractors in the office, or even considering hiring them as employees. The only real benefit for me coming into work is getting out of the house and having a good lunch."
2579,5.0,Ann Abor. MI,2015-06-01,,,61,64,"A fun flexible job, that allows me to work based on my school schedule. One thing I also like about this job is the fact that I meet a lot of new people almost every day and I have not had one negative incident while working this job."
2580,5.0,Philadelphia,2015-05-28,,,56,59,I work as an Independent - & it works with my schedule well.  It is a great way to earn extra cash & still not overtaxing.  The flexibility is one of the perks of the job.
2581,1.0,"Louisville, KY",2015-05-27,Can turn app on and off anytime you want,"low pay, wear and tear on vehicle, poor management, on and on",256,28,"It's a shame Uber management doesn't pay more because it would be a legit part-time job.  Instead it's bottom barrel rates with no tipping!  By the way, don't let them fool you, your insurance will NOT cover you doing this.  You need commercial insurance."
2582,5.0,"Philadelphia, PA",2015-05-27,"Free lunches, informative mtgs",Don't get too complacent,87,178,"I love this company because you can create your own hours. My typical day is leaving my house, and turning the app on. Working with the company is truly what u make it. You can make a thousand dollars a week. You can make five thousand a month."
2583,3.0,"Chicago, Il",2015-05-26,,,128,51,It's not a job to make into a career so it's ok for now or as a supplement for extra cash. The enjoyable part of the job is meeting new people everyday.
2584,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
2585,5.0,"Honolulu, HI",2015-05-25,"Flexible hours, decent pay","It's not in high demand all day everyday, you need to figure that out.",62,71,You get what you put in.  If you put in a lot of hours and claim expenses on your taxes you'll make a good amount of money.  It's a great job if you don't have a lot of time for a serious job.
2586,5.0,"Chicago, IL",2015-05-22,,,,2,A great opportunity to meet and interact with individuals throughout the area. I am able to take them to their desired location safely and give them a pleasant experience. I enjoy the flexibility of my job and the countless places I get to see.
2587,2.0,"Jackson, ms",2015-05-21,pay check,"bad hours, rain or shine, no management support",208,28,"I expected a lot more from management on this job. If you get a low rating, your side of the story means nothing. You have no back up or support. You have to buy additional insurance to cover riders. Their rating system sucks. After about 25 rides, they expect me to take a course for $100.00 to be reinstated. Once you are reinstated they only allow 50 rides to bring your ratings up. You can have a perfect rating and one ""drunk on his but who thinks everyone is looking at his girlfriend"" can give you a low rating and you are doomed.  Their is a high risk factor in this line of work. Extensive ware on your car, you work rain or shine. On the flip side you meet some ready great people,the pay is fair and on time.   Good luck to all who enter an agreement with this company. Know that their is no longevity in it."
2588,5.0,"Chicago, IL",2015-05-19,Time to Time arrange get to gather,Any time break,32,105,"Its a stress full job, When to much traffic on the road.New places new shortcut routes. Different people and ideas.Management is good, they try to take care.Maintain the Vehicle all the time.Long ride good fair."
2589,5.0,"Philadelphia, PA",2015-05-19,,,,,"As a driver for Uber, I do not have coworkers or a manager. The responsibilities are fairly straight forward, you arrive at the riders location promptly and deliver them to their respective location while providing a safe and courteous experience. The hardest part of the job: locating desired locationThe most enjoyable part: providing a service for the community"
2590,5.0,"Atlanta, GA",2015-05-18,Meeting different cultures,Driving to far out places,,,"A typical day for me driving for uber is to except every request from uber's riders. I learned that most riders like to use uber cause it is cheep and convent for them, and there no cash exchanged, which make the rider feel more safer not having to carry cash for uber ride, cause everything is taking online.  I like being my own boss because I get to manage my on time and schedule. My co-workers and I keep in touch to inform each other the best areas to work that will keep us busy. I find the hardest part is when i get a request for pick up and the riders is not at their pick up point, it can get very frustrating. The most enjoyable part of my job, is I get to meet many different cultures ,and I learned many areas of Atlanta that I didn't know before driving for Uber."
2591,1.0,Sarasota,2015-05-18,Flexible Schedule,Very poor net pay and no benefits.,237,33,Sounds great but the pay is very poor.  Demand is still not that good in the Sarasota Area.  The fares are very low and tipping is discouraged.  When I subtract $0.40 per mile as my costs I usually only clear about $5/hour.   It is a fun job but you do not makes any more money doing it then working at min wage somewhere and you take on much more risk.  Support for drivers from Uber is very poor.  Uber has a great app and business idea but part of the plan is to treat drivers poorly.
2592,5.0,"Colorado Springs, CO",2015-05-16,,,44,60,"I drive when I want, get paid fairly and that's about it. It's not a career, but it's a great job to have if your in between things."
2593,1.0,Utah,2015-05-10,"Flex schedule, but only if you don't care about money, need to work certain hours to get anything at all","No money, Zero support, Dishonest company, Will take your earnings any possible way they can find",273,38,"""Tips included"" my *ss!  They promote no tipping. You drive 25 min to pick someone up who is going 2 miles. So half of the time you don't even pay your gas money.   Their integrated navigation takes you all over the country. No matter what you ask, you get the same copied and pasted response. They could not care less about you as a person. It's great if you want to consider yourself a volunteer. Research the company. They actually made thousands of fake request to lyft drivers just to be annoying. Who does that? How immature."
2594,3.0,"Miami, FL",2015-05-04,"no schcedule, no bosses",,239,40,"I've been working for about 3 months. Its such a great thing to be your own boss and work your way. Which is not good is to provide your car, pay everything, fixing, tolls, gas after making not much money. It is unfair to drive from South Beach area to Fort Laudardale airport and make only 35 dollars, before they take their money. Not happy at all with that experience plus you never get to know if what you are doing is legal or not."
2595,1.0,"Miami, Fl",2015-05-01,Rarely someone might tip you...,Everything about dealing with Uber,254,17,"Typically you can work when ever you want but if you want to make any real money you will work the early pickup trips to the local airports.  The dinner crowd is great for return trips but the night club crowd will destroy your vehicle and also ruin your rating.  The issue we have in south florida is that uber has recruited so many drivers with their lies that no one is making any money anymore like we used to during peak season.  In low season it is so bad that you're lucky if you get a quarter of what you made during peak season.  One other very large factor is that Uber is operating ""illegally"" in Broward and Miami Dade county's.  You take a risk picking up at the airports and don't even try Port Everglades for they will give you a criminal violation as opposed to a simple civil one.  So go ahead and download the rider application and become a Uber customer, this will let you see just how many drivers are out there, it might just save you from ruining your car..."
2596,4.0,"Atlanta, GA",2015-05-01,,,47,89,Having a flexible made it easy to work the hours you had available as well as work as many hours you need based on the amount of income you need to feel comfortable.
2597,5.0,"Houston, TX",2015-04-26,Positive work place and the ability to make your own hours,Dangerous in traffic as it is a driving job,75,126,I have fun being part of a company who is always trying to do their best in innovation and respect for its people and clients.
2598,3.0,"Boston, MA",2015-04-24,,,116,34,"Being an uber driver requires long hours on the road, and you have to make sure you do all your sleeping at home. Unless you own the vehicle that you drive, its hard to make any real money when you have to share a car with a partner."
2599,4.0,"Pittsburgh, PA",2015-04-23,-,-,36,58,Driving In the city  has some glitches with the service and the office hours are 5:00 pm only to 7:00 pm to reach someone when you cant reach by text or e-mail and patrons say one pick up and its always more traveling on that fare.
2600,2.0,Bay Area Northern California,2015-04-22,"Work when and where you want, Passenger are great most of the time","Support from Uber is terrible, treat us like slaves",308,22,"I have been driving for a year now mostly in the Bay Area of Northern California.  I found that most of the passengers are great and keep me doing this.  What I don't like is Uber management and lack of concern for their drivers.  We are treated like second class citizens.  Getting a hold of Uber for help is only done by email and can take a long time for a response. Email responses are cut and paste answers.  Navigation is done by air miles when notified of a  call but the road miles will always be longer where it doesn't make sense to take the call.  Every time I work in a hilly area  I get an email the next day telling I am turning down too many calls and threatened to be deactivated. I would like the CEO or any managers to drive for a month and to see how it really is!! We are constantly being threatened of subtly reminders that we can be deactivated. No immediate help is available. Rates are lowered with no warning and if you want to make good money you have to work late at night on weekends. Uber will change auto requirements with no warning.  Many a driver had been left holding a car that he has to pay for that management decided for no good reason it is not good enough for their business.  I am talking about cars like a Lincoln Town Car.  It is good for working when you want and where you want but sometimes where you want to work has very little business.  Feast or famine pay.  No benefits, no job security, very little future. Some days I make $300 (very rare), and some days I make $15.  All and all I make an average of $15 an hour but then you have wear and tear on"
2601,5.0,"Jacksonville,FL",2015-04-22,"Money, tax write offs, meet a lot of diverse people","income is not stable, vehicle up-keep, gas, and cleaning.",,1,"A typical day is simply dressing nice, making sure your vehicle is clean and the tank is full. When everything is checked out simply log on a either wait or drive through the hottest placesAs far as management goes YOU are your manager. You make your own hours, cover business expenses, etc. As an Uber driver you are an independent contractor. If your rating is low they will terminate your contract.The hardest parts are waiting and customers. Some customers will cancel or are rude, most of my customers so far are amazing! Some days you can wait at a location for hours and get no customers other times you get them back to back.What I love the most about it is the flexibility, opportunity to make connections, and of course the money. The flexibility means I can work when and were I want. I am not tied to a specific location in my city, specific hours, or even certain days. The opportunities with this job are endless. Because you meet a lot of different people, there are endless connects and opportunities that open up to you. This means that doors that were closed to you are now open."
2602,5.0,"Raleigh, NC",2015-04-20,Work/Life balance is great. Make your own hours,Not good if you're not a fan of sitting down. Most $ is made late night (1am-3am),1,,"You are able to make your own hours and drive as much, or as little, as you wish. Everything goes through the phone app so no risk involved. Works great if you're a people person."
2603,3.0,Los Angeles,2015-04-03,,,71,127,You work when you want to because it's your own time. Customer Service response to email is quick. I like to drive so I have fun driving clients around the LA area.
2604,5.0,"Atlanta, GA",2015-04-03,,,59,103,Great Job! I love making muy own schedule. You just never know who you will meet.Being your own boss can be rewarding. Espically if you do not have to worry about overtime.
2605,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
2606,3.0,"San Francisco, CA",2015-04-02,Create your own schedule,"Low pay, no benefits",182,36,"This job is pretty good for me now but the pay isn't very good, there's no benefits, and the company has done a lot of shady things."
2607,1.0,"Charleston, SC",2015-03-24,Non,They are a CON,503,48,"Wow, where to start, except RUN.Uber is good for UBER and the riders, it is BAD for Drivers and legitimate Cab and Limo Companies.Uber is the new human trafficker. They take advantage of those in need. promise freedom and prosperity and leave drivers with less than when they started. I now know why so many states and countries are out lawing Uber. It is for our own good. They hire and spit out drivers, use up their cars, provide nothing but a malfunctioning app. which gets the drivers lost, which in turn prevents clients from giving the driver ""partner"" a five star rating, then the drop you and underpay you on the miles you did drive.Their promise of protection and commercial insurance is a LIE.Their insurance policy will not cover you, they will not protect you if you get a 437.00 ticket for picking up passengers at the airport. If you are lucky you will make 15.00 on that trip.I spent more in gas, chargers, phones, time and wear and tear on my car driving it in Charleston's potholes, than I made. When I contacted Uber for assistance with the app. I tried to explain to them that it lost satellite reception, and what did they do?They said your rating is 4 star and you are deactivated. Heck, I thought 4 stars was good. It turns out 4 stars is a slap in the face.Uber it will cost you, in the end."
2608,1.0,San Antonio,2015-03-24,Get to meet new and some nice people,Not good for drivers not enough money,311,29,Trips total is not what you will get paid plus end of of the year you have to pay taxes too. Not a good company to work for. Referring anyone not at all. I did 2 time but only once I got paid. One week I made $230 but got paid only $167.
2609,5.0,"Indianapolis, IN",2015-03-17,work on your own time,creates high miles on your car,42,40,"Must have a newer model car, create your own work schedule and maintain a high customer service rating and review. I love it because you can take off when you desire and you have the choice to work in bad weather, you are not forced to put yourself in any dangerous situations."
2610,4.0,"Madison, WI",2015-03-15,,,57,78,"The strength of Uber is that anyone with a car and some spare time can generate an income, and clients love the platform because they can see when the driver will arrive."
2611,5.0,"Fort Worth, TX",2015-03-02,"Pay, Hours, Quality Work, No Boss","Wear and tear on vehicle, vehicle expenses",118,102,"Customers are usually very kind and generally responsive when spoken to. Greet, smile, create conversation, and apply your company knowledge. Making money is totally dependent on your personal efforts to find events and figure out when high demanding hours occur."
2612,1.0,boston,2015-03-01,none,your being used,405,56,"staring with terrible customer and driver relations its almost impossible to get a hold  of these people$40 an hour gross pay during rush hour is a complete lienot even close to being worth it i cant wait to see this company shut downthey stole $200 from my pay for some phone that i did not ask forthey expect you to not start the meter while waiting who knows how long for the riderthey expect you to take the time consuming route to save the rider money for mileage this company is set up to make only themselves money, so dont be used by them fair warning"
2613,1.0,dallas fort worth,2015-02-27,nothing,everything,383,44,"Don't waste your time or let them fool you that there is any possible of making any kind of profit from using your car and driving people around so cheaply. You drive people around for pennies and then they rate you not so great (WHY!? Who knows!) which affects you....not that it matters because you were never going to make money to begin with. You deal with a bunch of rude people, it worse if your a girl and have do deal with insecure women. If you try it you will regret wasting your time. Any good  reviews on here are obviously someone from the company itself. Only way from them being an obvious 1"
2614,1.0,dallas/ft worth,2015-02-24,None,Not enough money....better off working at McDonalds,383,43,"Drove for Uber (and Lyft) for 9 months an audit showed little profit. Most money went to gas, upkeep and insurance. You spend most of your time waiting for customers and trying to find them. Then Uber kept lowering the price that so you CAN'T make money off the fees. And keep in mind, there's NO tips. Can't wait to see what happens when gas prices go back up. Stupid Uber will probablylower the fares again.Good luck if you decide to do this."
2615,4.0,"Cincinnati, OH",2015-02-24,Can work anytime you want.,Charge unnecessary $1 fee per rider. Unclear where busy spots are.,206,46,The company takes an 820% split of the fare + $1 dollar for each ride for a safe rider fee which is ridiculous. They also charge the driver if the riders split the fare between them.
2616,4.0,"Oklahoma City, OK",2015-02-16,,,75,159,"Flexibility and emphasis on customer satisfaction. Ability to work my own schedule around any secondary work I might have. Also, Uber emphasizes customer service with a rating system that each customer fills out anonymously."
2617,4.0,"Boulder, CO",2015-02-14,"Flexibility, networking with clients you pick up",Taxes not being deducted from pay,219,75,"I really enjoy the flexibility that this company offers.  The down side is that they don't take taxes out for those that are driving for Uber due to being an independant contractor.  Read up on this topic more at http://www.irs.gov/Individuals/Self-Employed.  As far as a typical day at work, you make your own schedule. When you drive, you get to choose where you go to work, and wait for Uber to alert you to the next client that needs a ride.  You start and stop the ride on your phone, and rely on a GPS map to get you to your client, and where they desire getting dropped off at.  What I learned was a little more about the independent contracting issue and taxes, and keeping great records for what mileage, gas, and other related expenses for your personal vehicle.  There is self management besides the surge hours of when people use Uber the most during the day.Co-workers, I never met any except the person that I referred to drive with me.  The hardest part of the job would be dealing with a lot of out of people with all different walks of life.  Some can be really cool, and appreciative, yet there are the ones who are hard to please, and you'll see the result on the grading scale they have you use.  It goes both ways, you grade the rider, and they grade you.  They also don't put you with clients that you have rated lower than 3 stars.  Which is really nice."
2618,4.0,Phoenix Arizona,2015-02-14,Own Schedule,Cuts in Driver Profits,152,40,Time freedom but the price per ride keeps going down so drivers are making less and less.  The driver position needs to be paid well or the turn over rate will kill the company with poor inexperienced drivers.
2619,5.0,"Princeton, NJ",2015-02-12,,,179,63,"I liked meeting people.       Making a profit was difficult.  After paying the business expenses, the tax and all the gas and oil, and tires and cleaning, and depreciation of  the car.  Also there was the car payment and things like promotional cards from the printer.  It was a big expense and the company didn't charge the customer enough I feel."
2620,5.0,Los Angeles,2015-02-10,"Make lots of extra money and closely monitor your earnings with their tools, They are very responsive in email.","Their rating system and the potentially dangerous affects it can play on your newly acquired income, You never know if you're going to be terminated so don't depend on the money.",189,76,"You have to know your city and know which service level you should be working for. If you do UberX then you're hustling x2, 3 or 4 times harder then a Plus, Black, SUV or Lux. People who've complained here were probably bad drivers and not good business-minded persons. Keep in mind that Uber can take 20-25% off the top and you are still responsible for your own taxes. The contractual agreement between you and Uber is 1099. Do some research before you get yourself into financial troubles with Uncle Sam / Uber Sam."
2621,5.0,"Chicago, IL",2015-02-09,"Set my Own hours, performance based on customer contact","Pretty hard on your car, have to work in the city to make good money",1,,"I really enjoy working for Uber. I would continue working for them, however my car is just old enough now to not qualify. I am very likely to work for them again in the future."
2622,4.0,"Atlanta, GA",2015-02-02,Work on your own time.,Commission base,1,,If you are entrepreneurial minded and can manage your time wisely...Then this can be a great side hustle for you. You can set your own hours. There is no minimum or max amount of hours you have to work.
2623,5.0,Chicago,2015-01-31,,,1,,"great company to fork for. flexible work day. get my money with direct deposit every week, never late. couldn't ask for a better job."
2624,2.0,"Amarillo, TX",2015-01-23,freedom of scheduling,not enough business,166,21,The job is great in regards to making your own schedule. However Amarillo Texas there is not enough business to really make a living or a small dent in any debt with the earnings from the few trips you get. It works great in a large city though I hear just not here. If you are lucky you might make $30 to $60  a week.
2625,1.0,Los Angeles,2015-01-13,"some nice customers, you manage your own schedule","High maintenance customers, high turnover, drastic decisions, poor support, car deteriorates",504,33,"1.Very dishonest company. They use you, your car milage, you have to pay for your own gas, car cleaning expenses, oil change often, in 2 months driving my car and needs maintenance again. 2. At the beginning they will pay a lot of bonuses, but then you will notice that payments get lower and lower3. You have to deal with some drunkie customers. Immature people who give you bad ratings just to harm you.4.They would fire(deactivate your account) any time, without warnings, at no reason.5. Some passengers are nice.7. Just check they are always hiring drivers.... high turnover. Which is not a good sign."
2626,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
2627,4.0,Charlotte North Carolina,2015-01-08,The money can be great,The fares can be low,1,,I Have found that the people you interact with tend to be very fascinating.The possibility of networking with people you ordinarily would not meet increases your base of knowledge as well as increases chances to come across vital career changing information
2628,5.0,"Las Vegas, NV",2015-01-07,work when I wanted too,can be an addiction,75,147,I got to work my Job at the community center after I would go home for 2 hrs then go pick up someone that needed a ride. I learned that this is something All of Las Vegas needed. Seniors need it the mostHardest Part is knowing when to stopMost enjoyable was knowing I gave a guest a ride and they were happy.
2629,1.0,Chicago northwest suburbs,2015-01-04,So called independance,Wrecking your own car,344,27,"To be frank UBER is only differant in that you absorb ALL the expenses,take all the risks for little no profit.  I drove a limousine for 15 yrs where I drove a company car and paid gas and tolls and for liqours,beverages etc. With UBER you will pay FOR EVERYTHING , and have the honor of driving intoxicated or high individuals. And additionally you'll be BEATING your car to death .  And beware you personal car insurance will not cover you or your car as a uber driver."
2630,3.0,Tampa,2015-01-04,,,408,18,"I can only speak for the Tampa area.  There isn't bunch business outside of weekend nights. Uber is mostly a drunk taxi in this area.  Very little daytime business.  Carrying drunks gets old fast. You live with the constant fear that they will vomit in your car.  The money you make doesn't justify the gas, deprecation, tire wear, etc.  If you put in 40 hours you'll make about a full time worker at McDonalds makes.  Except that he isn't driving his car into the ground.The rating system is ridiculous. Customer can give you one to five stars. You are threatened with being fired if you drop to a 4.6.  That's crazy. Do you know how many drunk people are fat fingering the rating?  Do you know how many irrational people might give you a 1 because they don't like the color of your shirt? Uber is another internet scam. They promise the moon but the reality is you're working hard for very little.Things might be different if you work in New York city or Chicago.I'm just telling you what's going on in Tampa"
2631,1.0,Illinois,2015-01-04,None,Everything (crooks),321,26,"This company is a scam.. They make it very difficult for the drivers to make any money with all the fees the charge. They hate to even credit you for a 5.00 no show. They suck and are crooks. Now they have drivers assaulting women. Trying to even get in touch with them is impossible . I  would not recommend them to anyone. RUN. One of the worst companies in the world to work for, truly CROOKS."
2632,5.0,Washington DC,2015-01-03,,,55,237,I worked for UBER for 12 months and that was great experience and perfect opportunity to meet and talk to people and make money!
